RestaurantID,NumberOfReviews,Rating,Cuisine,Recommended
0CjK3esfpFcxIopebzjFxA,5036,4,chinese,1
xq0cX_DgxiJMXwhmEl9kUA,1038,4,chinese,1
6hacsz7FUwprKTjJb6KFog,1260,3.5,chinese,1
wfhMIiMh2A2psCGONOVSlg,992,4,chinese,1
bVkjBJlAIwKAj9Aw1KVWjA,644,4,chinese,1
ojbH3wnRu050hRhkmoxRiA,404,4,chinese,1
nI1UYDCYUTt23TpGxqnLKg,3376,4,chinese,1
uiQ6p_3biJD5S4PrF58t_g,837,3.5,chinese,1
qGgQMVExGERqGhZNDM2ROg,448,3.5,chinese,1
HScFap2SwbUlfC-QXVkxFA,1305,4,chinese,1
0k678lCWQyReNi0lARlOmw,470,4,chinese,1
NZb6ILmE0p4gQ5harzrAvA,327,3,chinese,0
M-odQWSEfsR2mVEw7nKG-g,1770,4,chinese,1
LwEzFDBX-nUHYHgAddfaxA,318,3,chinese,0
rEbwps11tIERRkwQrIXQog,734,3.5,chinese,1
neQM053ovAOrf1sVSAPI9w,768,4,chinese,1
X8ZS-dgiMIJvhwf9SaDnjw,940,4.5,chinese,1
H1jops1lmuhrq9lP7lEGJQ,1045,4,chinese,1
sR-KTsDa4vafaDak9Ik2sQ,150,3,chinese,0
rYw5rQbWRX9buZHZbxqWdA,1352,3.5,chinese,1
R26zweQ8-xoZS7iHkXQOvw,1290,4,chinese,1
_RhAY03oEBw9HNwUAJyBCw,385,2.5,chinese,0
MhceeLrM2_3mcKw5EGLY6A,2143,4,chinese,1
EFihj7vsRRXiF5la-UURyw,687,3.5,chinese,1
uaFHoq-a5XqxF-bsOK9_Qg,758,3.5,chinese,1
Gd3_3mxOvj2xYiqysV8rbQ,1457,4,chinese,1
SNhDVaf_n7VDZcfry8mYdA,912,3.5,chinese,1
bnDfFdiCcPzhuNWUJORvLQ,774,4,chinese,1
lynQoI3w_pzYfHGeuUU-Qg,476,4.5,chinese,1
NN3mOWF5e_pnR1ArqM2bHQ,1617,4,chinese,1
C7CFAdrczXxNhnN-MNJqmw,580,4,chinese,1
rGuXwUtNoDp0_GmspjYwcA,456,3.5,chinese,1
B7bxdtvLYR7Nmex4AIFd4w,503,3.5,chinese,1
zubN8Ve-RyoljRZV4NRxEQ,1137,3.5,chinese,1
Lbs8QBRN1U7IYBo5Mcv-RQ,1364,4,chinese,1
5uTJ_4fWfT1ImuwCLN9xGA,309,3,chinese,0
LpVbI-E9C-CSp7WhU5h2Iw,421,4.5,chinese,1
TU_BU9HLflYI2xlyqVQdRA,2149,3.5,chinese,1
kwqOmEwWJ0D9PyCdFGE3-g,522,4,chinese,1
Va_mnsEvBghHXvc7uZIWJQ,473,4,chinese,1
L37A2JWXfwR_PgKColA8xA,1248,3.5,chinese,1
s25mujxKWphsyFm0Ji1xYA,293,3,chinese,0
6kCo3xb87Sc3Aa5ZSWzNnw,187,3,chinese,0
SyvC0s3y0ZrtnLbwnvw7tw,1094,3.5,chinese,1
Qwd4Tv-CqgO2Yl9zZgkKOQ,245,3,chinese,0
B3_K2kUVbYOU0VaLcj_LTw,1437,4.5,chinese,1
#NAME?,1616,4.5,chinese,1
FH978pIP1TLRuPAH-MbWIQ,1938,3.5,chinese,1
gQ6DNeLNWQV-zwWyuFeBpg,137,3,chinese,0
8ig0yf0003DAp4YOGTlbVg,486,4,chinese,1
bSi2f2TaOr4RVTI5eFt0wQ,170,3,chinese,0
5yHuB6cT4Y82u22kOziobw,86,3,chinese,0
vQe7_ZW_jBSWKtgSiXGIOA,449,4,chinese,1
MYPes7EWP5aLiVG1Z_9eFQ,108,3,chinese,0
Vzx-7-jSEBz2g8NuGVhHvQ,549,3.5,chinese,1
Ece_DRuD1yQjRPJBAebRpw,220,3,chinese,0
PGeL1b4xNJggpZsHEGoxjg,324,3,chinese,0
B87c3bE_u53yNYO1cmHSIw,463,4,chinese,1
7hh2eP4HVkyjtpcqeITk3Q,113,3,chinese,0
2lJwfmyRKO8zFz5Xuiw11w,275,3,chinese,0
WRRs3smfm6rHP5k4Slzr3w,128,3,chinese,0
IhSVn0TaX8xXb3wcQ-fgcA,2224,4,chinese,1
tguMh2GgOcU9fu6WN3dqpw,819,4,chinese,1
Xf6e3HaP0AgMBxY7dEDkOA,1341,4,chinese,1
6LfskUyZzmcDSV6h5kOwGw,711,3.5,chinese,1
ev6e12vhY_0y4qE1cRhv0A,819,4,chinese,1
H_KyiRhwho8rdlw_R93_0Q,1705,4,chinese,1
PBUIaPtgnhmdHE3KHglK-g,1676,4.5,chinese,1
N_5VwtCoXPhHdlz1JQbIoQ,139,3,chinese,0
97q5nUQTuBo_h00XCxna2A,1353,4,chinese,1
Sj2StOWkhHIPE6_sS5RMCQ,186,3,chinese,0
JzD9nfJWHwnG-2Wk87muHg,1056,3.5,chinese,1
OfqANzeWRlZrdHQuG7pI0w,143,3,chinese,0
U74_3F7r3tMhd6dmTmDBxQ,656,4,chinese,1
MXYtu8-0eNkW6L4firJfcw,228,3,chinese,0
dTZ-q8CwEDo9iVKM0tydnQ,176,3,chinese,0
GJZnf3B-ADjlCV1NXsHvGQ,88,3,chinese,0
hWkbadE0u-Eiqg9SAm176Q,44,3,chinese,0
fUhBM10aNrkVGvHJ2Hbhqw,188,3,chinese,0
x_t-FtDa5HVgc-wecp0HBg,2019,3.5,chinese,1
RTFIMX31BPeZzx7kJJ1SCA,575,3.5,chinese,1
kWJF8L1u5jdlkLBItUu16w,630,3.5,chinese,1
d_TC6Om2EBTzHVm_lCgNtg,1090,3.5,chinese,1
b8a-8u_A51v2IzyjLVsx6w,2394,4.5,chinese,1
R18bhjYmKxpwfkwGFlWW2g,426,3.5,chinese,1
ItZ8CzZAGXGjB8_9HxDIXg,88,3,chinese,0
xEDD2ScBU3jHhWxlMC7dkQ,997,4,chinese,1
zYoL-o9YJpGTwJ-Gmj8AFA,224,3,chinese,0
xH7mEjh4Rn6KdHjXYNoOjw,551,4,chinese,1
inp9N7bo9zqQSa8h8UBhqg,185,2.5,chinese,0
6zM0c7vvoddgza_qvKkATw,1450,3.5,chinese,1
aSFBv64GBpMOFPqIleeQFQ,1450,4,chinese,1
kBZggrnSP1kcUMnsnfkTaQ,2871,4,chinese,1
eQKYZWnBjPUjINAnFmrmbA,356,3,chinese,0
XoxEVVf5Ci8nibQ-Q4P0nQ,105,3,chinese,0
56wxE888GknVcUeAXBfqFw,113,3,chinese,0
ryvBsB9FrBBZDak87iGS1w,762,4.5,chinese,1
1MqGlFP3b7H77fzUkJMKgw,481,4,chinese,1
pmJqb7-EckluXUk6Rtml6A,71,3,chinese,0
EP5F-WYOuJ22NrCyNWYccA,65,3,chinese,0
spJTHaNjEzKwoEiYWR1ggA,573,3.5,chinese,1
oe8GEFE4QLFAKt87y7zcgA,463,4,chinese,1
_usWsAYSKKV2q8xw-3ajrA,1555,3.5,chinese,1
fPW_GBZsnBNsIzK62sCHBg,825,4,chinese,1
IQ91FltwJmIPhS6fKKf2pw,48,2.5,chinese,0
8cyRl5HIQzbkYD7orq223g,698,3.5,chinese,1
J9UA6rzI5WW_cDGjwDnF5g,1128,4,chinese,1
i8ejDDR4COtukAAA1Ls5fw,1275,4,chinese,1
3K7Kc82bhU6-qjAjsBs3Fw,492,4,chinese,1
B3i4zs5wquFu1UZyzYJ-bQ,1749,3.5,chinese,1
ybQV8joopvU1_gG2RwLRog,72,3,chinese,0
P2bxlKAmRWZIpHdJ_JT3fg,588,4,chinese,1
4x_WyIOEdqxk01QH1HxYrw,1177,4,chinese,1
B98cXrMI16HslKLqg6Nb9A,444,3.5,chinese,1
53y6b_-YaptXhlm2-STzeA,451,3.5,chinese,1
84zvcPTAVCsSVtzCUtSDtA,870,3.5,chinese,1
LevaZe9HJHteg4nSp-pt2g,854,3.5,chinese,1
YHGGyH4hn_5UyV1rWgA5hg,494,4,chinese,1
mhhTORjUdXj-UIDjyGmhBg,730,4,chinese,1
2IHGMQVQ7zmb89WyiiH1AQ,800,3.5,chinese,1
01m-oqxaCifh0s0eU03bBg,54,3,chinese,0
kctef59qqlzJNqAc1ZGEvg,704,4,chinese,1
aPI3_mdisxIOo9EwBEJPZQ,39,3,chinese,0
hdiQrGDT8enOzpxaipBzNA,102,3,chinese,0
91rrB0aH3caC70oCkxAynA,550,3.5,chinese,1
qpFoZi5PqY7KVWCRNOmFGw,218,2.5,chinese,0
NebgteFykeM1gwiVgPcCHw,473,4,chinese,1
LYp3izplqg0x-h9CBlb-MQ,185,2.5,chinese,0
bT4CDzyhV-frXV6ijvXnvw,455,4,chinese,1
j0tkph2po_37gtZ1ufxiow,79,2.5,chinese,0
AeLz0uoZH3hxmkcXlwUIGg,83,3,chinese,0
nxTEuWKzkK1tCF4LrhFSUQ,1203,4,chinese,1
IUvJ8jmojYu1FsOQ0PfFcg,1209,4,chinese,1
_WsfOuvObbp1tH4cBE-jNw,1091,4,chinese,1
GzY2EjCmGNgvRd7IE20fTA,183,3,chinese,0
ye-TSU-mu1Gd5TAJOpI5Mg,234,3,chinese,0
yUVcpgecpq1qncpa1x34Hg,16,3,chinese,0
kqJApXkfFn42SZZG7QTc4w,503,4,chinese,1
uuDvk4EsRUkeTj4jVKJOpw,940,3.5,chinese,1
Dj0jblwuWTftL1D7_Kun6Q,178,3,chinese,0
NZNPFJ405oo1z043hH4Fnw,1387,4,chinese,1
J9kON4T_XtDPDk6jRoR5xA,51,3,chinese,0
D-PPbfPcCNyKs7w0J4tMvQ,70,3,chinese,0
p2zm0HnXZkI2yCAuYLb45g,839,4,chinese,1
XkL6fOBtaIqVCMXVCY9row,700,3.5,chinese,1
BEuZGvNlbM4tXq7YICyM6w,589,4,chinese,1
zZecd370h2jxzh1kRJ4y2g,895,3.5,chinese,1
kB-lmHs7yNwLIlQyp0kMmQ,1694,4,chinese,1
xOL2SC34gdhKHSbyaDz9BA,133,3,chinese,0
FlZ1zdVEKWv7dwqm8Uw8-w,638,4.5,chinese,1
NXZFu7KHBrG02gzYneY5Xg,517,4,chinese,1
IFZ3_d01uflGixWrrD8_gg,413,4,chinese,1
MMotl_bi3-5JRra91A2jLA,420,4,chinese,1
TKfUaqizEuC1Qacr3MgmdA,13,3,chinese,0
Y1s36Tk63HIzAc76X_fAiQ,455,3.5,chinese,1
6uPtOyrxXV8y1y8pvLU2pA,52,3,chinese,0
mQX9JxLMlhVxaUMP9ADUHw,490,3.5,chinese,1
h3yz3w8ke1jIaGnqGln93A,34,3,chinese,0
U0EJ4URMoFHJEzAkMp4WWQ,123,2.5,chinese,0
Bjv99EWQdyJUGzAZYQ_WOA,807,3.5,chinese,1
5dzFMuClH9CDvfaUuIKWeg,38,3,chinese,0
sinDhwX8Egru_3FCI7bhkw,979,3.5,chinese,1
VbUy299ch56p4GYZTNDbvA,1104,3.5,chinese,1
yVDNPV0Yf3vQAsXTJett1g,36,3,chinese,0
9j5r0NlYKRkBTVvnAcUcwg,58,3,chinese,0
5rX_7IkvFx5MKqS3ikQe3Q,94,3,chinese,0
98SsKXNs37ohAQERZbBPJg,55,3,chinese,0
wxUTM-FkpCvnoTGJfSXkWg,29,3,chinese,0
ySIIdmS4oh-QL2dny7GscA,509,4,chinese,1
bK-Y2zCIMolqRDHsaYUCWA,225,3,chinese,0
entLjafiBAYOvbJYHRvyrw,17,3,chinese,0
ggJ8NWu0augmwCdbJu1n8w,86,2.5,chinese,0
KpBfFpjzsGvvqAzCasVW0g,1112,4,chinese,1
AjZ9hwJRu77jgWIrnhsGcg,11,3,chinese,0
D3LtTiVtIPOcUT_bjxztRA,469,4,chinese,1
dP6SmZ5E5Nj64-3zZMjGSg,38,3,chinese,0
_BL1-CT06HGkiA3jcucu2Q,14,3,chinese,0
EF0O_YwVCuWioswtEMrjpg,310,3,chinese,0
rJeh77RIvtmISisvVoy6TA,105,3,chinese,0
JRSAnPCs3jgiRVvE9j2S7g,60,3,chinese,0
F2KRHRtnIAZJezs9UC2u6w,42,3,chinese,0
XaEFFUabnbH8ZF7ccmSAlQ,46,2.5,chinese,0
svvP8Thiit_8TX-Lfeecrw,48,3,chinese,0
j9LAlbSiqGlvfAOt8LRRzQ,49,2.5,chinese,0
pnhnrLOs2WN7wpvxmjSm1w,53,3,chinese,0
EL6Qg5LzrfhDFnF7MUfGLA,36,2.5,chinese,0
WgQkB7cbPNgj0pLin7gQtw,70,3,chinese,0
ZUBqQZwMGZSOVbfpOI_uyg,953,3.5,chinese,1
iXmDaPsgylG1kHPLli15MQ,576,4,chinese,1
kZIwBwL0XKcs4ti7b64Odg,198,2.5,chinese,0
N0cfNApqwrPEqXgcf3NWmg,847,3.5,chinese,1
ulKoAGcGOdsXgr0o_l6avA,746,4,chinese,1
HM6cvh5A9LLBeb4Sca6fPA,61,3,chinese,0
ku3TyaUBEkuQtQXKq80Zlg,202,3,chinese,0
yVI01P3ApyLlkqtOfgki7A,14,3,chinese,0
