RestaurantID,NumberOfReviews,Rating,Cuisine,bestAnswer,score
6tASYtO9zOrXr8-LPnAToQ,324,4,chinese,1,0.9979692
FXhSEZfIqjMZh4hR0_8jMQ,289,4,chinese,1,0.9979692
xCHApgtkLpEyh0lz-uhZvg,187,4,chinese,1,0.9934642
5YBYGnZtTGJABXC4Jahhzg,156,4,chinese,1,0.994914
oowNI_aUmGEFa_VW8BFgRg,148,4,chinese,1,0.994914
croh2zWlbPyCQTNS11klcg,44,4,chinese,1,0.994672
dDXtga5Kgo5B1twdezcZJA,270,4,chinese,1,0.9979692
SVJNB9LqI13jtVyKMZVqeg,376,3.5,chinese,1,0.9963511
lQ8Fzgji9qmgRXkFcvAsVQ,179,4,chinese,1,0.994914
6dVXDdgzDEVt4DvHzpWo9w,273,3.5,chinese,1,0.9963511
YdAtCf_13UK-uvXuOMrhNg,139,4,chinese,1,0.994914
ZdLS7gD1ulmCPkqNc9_S3A,103,4,chinese,1,0.9939694
JaKLZrh1Y_2qB_0Gc3bk3A,409,3,chinese,0,0.000456653
sfsjk1h50ooC2ioY7m48gw,204,4,chinese,1,0.9934642
0dDCDQz7DrKkSvu9h2hcQw,67,4.5,chinese,1,0.9631047
wurhcLKXD4YJ5XfTxpbE5Q,387,3.5,chinese,1,0.9963511
Jy7htqnnxlKB2vZO42_-aw,138,3.5,chinese,1,0.9908842
IqbHVeqgewmbeSMXBhbqSw,212,3.5,chinese,1,0.988299
BPErPpKSNluwcjbKRgze3w,385,4,chinese,1,0.9979692
v2dtG37r1ThqtfEfiFsAUg,426,3,chinese,0,0.004207318
jwKPVep2qZYBUA6SLLQPvg,174,3.5,chinese,1,0.9908842
l1nX-f46dmOEmYPoiuLSaw,348,3.5,chinese,1,0.9963511
EDLKX7cCxPbmbmo1XG3xJQ,415,3,chinese,0,0.004207318
jc7lVTvmYMIK5RNpENtS6w,95,4,chinese,1,0.9939694
scTDvJ2M2jDbb1ntVeIyxA,343,3.5,chinese,1,0.9963511
R7EGjHWw0tNheY6-ahH8fQ,327,4.5,chinese,1,0.9867039
1dFOF1HPaThSCsdiqR7DrA,268,3.5,chinese,1,0.9963511
g_5V15Xp1OvB1QXuGMstYA,480,3,chinese,0,0.0039938
#NAME?,122,4,chinese,1,0.996508
Bwj7nzWphGV6FaZ_ygTSOg,112,3.5,chinese,1,0.9891992
